aX,aY,aZ,gX,gY,gZ
0.036,-0.709,1.314,-357.849,107.422,121.094
-0.030,-0.740,1.066,-382.568,120.667,134.460
-0.050,-0.710,0.867,-398.193,131.287,150.696
-0.055,-0.665,0.719,-415.283,139.343,162.903
-0.071,-0.665,0.560,-438.599,143.616,170.227
-0.107,-0.703,0.394,-465.881,142.761,173.279
-0.142,-0.750,0.203,-489.380,136.902,172.852
-0.163,-0.772,-0.045,-504.456,124.695,168.823
-0.179,-0.798,-0.291,-512.878,104.736,160.522
-0.184,-0.853,-0.512,-514.893,81.177,150.635
-0.176,-0.916,-0.736,-507.141,61.218,139.648
-0.203,-0.942,-0.947,-494.202,49.011,126.587
-0.255,-0.971,-1.110,-481.750,45.776,113.220
-0.296,-0.977,-1.233,-471.985,49.805,102.173
-0.329,-0.982,-1.338,-464.661,58.716,93.750
-0.373,-1.063,-1.519,-460.388,71.106,85.571
-0.433,-1.180,-1.874,-462.463,84.351,76.538
-0.476,-1.189,-2.293,-464.111,94.788,72.205
-0.411,-1.108,-2.663,-455.688,106.201,77.332
-0.388,-1.049,-3.007,-423.401,120.911,90.393
-0.410,-0.912,-3.187,-375.122,138.184,106.689
-0.433,-0.610,-3.243,-313.599,152.771,121.094
-0.462,-0.295,-3.187,-250.671,150.146,128.601
-0.490,-0.056,-3.018,-197.754,123.962,125.183
-0.480,0.086,-2.791,-156.311,80.627,111.572
-0.487,0.093,-2.487,-128.662,30.273,91.003
-0.466,0.060,-2.226,-107.056,-11.658,73.059
-0.477,0.108,-1.994,-87.708,-37.537,63.599
-0.486,0.178,-1.811,-77.698,-47.485,54.626
-0.466,0.213,-1.698,-76.111,-44.312,43.335
-0.417,0.240,-1.651,-76.538,-32.104,29.724
-0.368,0.251,-1.661,-72.998,-14.893,14.343
-0.292,0.246,-1.674,-64.575,1.892,1.709
-0.199,0.223,-1.667,-53.223,14.893,-7.385
-0.086,0.200,-1.671,-41.504,20.874,-14.954
0.019,0.154,-1.665,-31.372,17.944,-18.616
0.118,0.113,-1.624,-22.156,9.827,-16.602
0.172,0.095,-1.544,-13.184,0.732,-11.230
0.176,0.121,-1.453,-5.981,-8.972,-3.113
0.145,0.163,-1.350,-1.221,-18.127,5.981
0.103,0.179,-1.254,0.732,-22.827,14.343
0.066,0.190,-1.168,-0.122,-23.926,19.043
0.031,0.192,-1.109,-1.343,-23.193,18.494
0.028,0.202,-1.080,-2.136,-19.897,15.320
0.023,0.191,-1.083,-4.456,-15.442,10.925
0.012,0.181,-1.119,-7.568,-10.437,7.935
-0.004,0.170,-1.155,-8.606,-5.310,7.019
-0.033,0.157,-1.178,-7.080,0.488,6.653
-0.061,0.137,-1.184,-1.953,5.859,6.226
-0.097,0.126,-1.168,5.371,9.888,5.615
-0.113,0.129,-1.128,12.512,13.062,5.493
-0.113,0.137,-1.073,18.005,13.611,4.883
-0.118,0.132,-1.017,18.921,9.338,2.441
-0.104,0.116,-0.978,16.235,2.686,-0.793
-0.091,0.111,-0.968,11.780,-3.784,-1.953
-0.092,0.104,-0.980,7.019,-9.583,-1.648
-0.106,0.098,-1.014,2.808,-12.207,-0.671
-0.140,0.099,-1.047,1.770,-10.315,1.038
